# Height	Time	Reaction	Name
3.86	0.873	0.039	Titania
4.44	0.985	0.032	Helena
1.25	0.468	0.023	Lysander
4.21	0.945	0.039	Demetrius
4.11	0.918	0.016	Hermia
1.63	0.574	0.026	Titania
2.44	0.737	0.018	Titania
4.0	0.941	0.011	Oberon
1.54	0.601	0.026	Oberon
3.71	0.85	0.038	Hermia
1.42	0.517	0.029	Hermia
1.67	0.542	0.033	Demetrius
3.38	0.847	0.036	Demetrius
1.1	0.496	0.031	Hermia
4.55	0.957	0.021	Lysander
2.86	0.731	0.034	Titania
1.35	0.52	0.037	Lysander
4.48	1.005	0.041	Lysander
2.37	0.71	0.037	Hermia
2.31	0.697	0.039	Helena
2.15	0.668	0.022	Helena
4.74	0.962	0.012	Demetrius
2.65	0.777	0.043	Demetrius
4.49	0.961	0.031	Titania
2.57	0.754	0.023	Demetrius
2.02	0.689	0.034	Demetrius
2.81	0.717	0.034	Helena
3.6	0.849	0.048	Lysander
3.69	0.84	0.016	Oberon
1.75	0.605	0.034	Lysander
2.66	0.738	0.013	Demetrius
3.26	0.832	0.018	Helena
3.32	0.81	0.047	Demetrius
4.17	0.874	0.044	Hermia
3.54	0.803	0.046	Demetrius
3.45	0.8	0.012	Hermia
2.37	0.694	0.036	Hermia
1.06	0.506	0.023	Oberon
2.11	0.628	0.019	Hermia
4.5	0.91	0.044	Helena
1.7	0.596	0.012	Lysander
4.12	0.885	0.034	Demetrius
1.72	0.603	0.02	Hermia
2.86	0.812	0.036	Demetrius
3.73	0.884	0.038	Lysander
3.23	0.805	0.017	Lysander
4.58	0.988	0.037	Oberon
3.56	0.857	0.022	Lysander
3.13	0.761	0.048	Helena
4.2	0.886	0.043	Demetrius
3.2	0.824	0.029	Titania
3.16	0.806	0.039	Demetrius
4.12	0.95	0.046	Lysander
1.1	0.446	0.021	Demetrius
1.74	0.583	0.017	Oberon
2.31	0.691	0.044	Helena
3.35	0.872	0.029	Helena
3.16	0.771	0.032	Titania
2.73	0.726	0.021	Titania
2.81	0.798	0.031	Hermia
4.76	0.996	0.038	Hermia
3.79	0.857	0.033	Titania
3.1	0.759	0.039	Oberon
2.63	0.78	0.021	Hermia
1.38	0.55	0.024	Oberon
4.68	0.998	0.017	Lysander
3.87	0.869	0.024	Oberon
4.11	0.892	0.041	Demetrius
4.32	0.981	0.015	Helena
2.04	0.681	0.01	Titania
3.54	0.82	0.048	Oberon
4.79	0.941	0.038	Hermia
3.16	0.77	0.024	Oberon
4.91	0.952	0.05	Demetrius
2.01	0.69	0.028	Demetrius
3.72	0.843	0.016	Demetrius
3.82	0.904	0.048	Lysander
2.17	0.689	0.026	Demetrius
1.48	0.554	0.05	Lysander
2.0	0.593	0.018	Oberon
2.3	0.725	0.03	Oberon
3.02	0.768	0.04	Demetrius
1.01	0.478	0.026	Hermia
2.37	0.731	0.046	Oberon
4.67	0.963	0.028	Lysander
3.05	0.778	0.011	Hermia
